ID,Source,DriftRateMax,Nevent,FreqMid,DriftBW,DriftRates,Freqs,FileID
570,HIP19076,0.047832,1,2241.590792,0.0005,[-0.047832],[2241.590792],spliced_blc0001020304050607_guppi_57627_48847_Hip19076_0027.gpuspec.0000.h5
571,HIP19205,0.019133,1,2212.499941,0.0005,[-0.019133],[2212.499941],spliced_blc0001020304050607_guppi_57627_50915_Hip19205_0033.gpuspec.0000.h5
572,GJ876,0.0,1,1856.44468,0.0005,[-0.],[1856.44468],spliced_blc0001020304050607_guppi_57628_25874_Gj876_0009.gpuspec.0000.h5
573,GJ876,0.0,1,2606.44468,0.0005,[-0.],[2606.44468],spliced_blc0001020304050607_guppi_57628_25874_Gj876_0009.gpuspec.0000.h5
574,HIP108752,0.009566,1,2198.392373,0.0005,[0.009566],[2198.392373],spliced_blc0001020304050607_guppi_58223_56274_HIP108752_0032.gpuspec.0000.h5
575,HIP98677,0.10523099999999999,1,2250.469189,0.0005,[0.105231],[2250.469189],spliced_blc0001020304050607_guppi_57871_49101_HIP98677_0045.gpuspec.0000.h5
576,HIP106231,0.009566,1,2104.725137,0.0005,[0.009566],[2104.725137],spliced_blc0001020304050607_guppi_57907_38902_HIP106231_0044.gpuspec.0000.h5
577,HIP106231,0.019133,1,2104.896625,0.0005,[0.019133],[2104.896625],spliced_blc0001020304050607_guppi_57907_38902_HIP106231_0044.gpuspec.0000.h5
578,HIP106231,0.009566,1,2105.185452,0.0005,[0.009566],[2105.185452],spliced_blc0001020304050607_guppi_57907_38902_HIP106231_0044.gpuspec.0000.h5
579,HIP19076,0.047832,1,2239.158816,0.0005,[-0.047832],[2239.158816],spliced_blc0001020304050607_guppi_57627_48847_Hip19076_0027.gpuspec.0000.h5
580,HIP25486,0.019133,1,2180.955688,0.0005,[-0.019133],[2180.955688],spliced_blc0001020304050607_guppi_57817_84321_HIP25486_0050.gpuspec.0000.h5
581,HIP98677,0.10523099999999999,1,2254.5651989999997,0.0005,[0.105231],[2254.565199],spliced_blc0001020304050607_guppi_57871_49101_HIP98677_0045.gpuspec.0000.h5
582,HIP25486,0.019133,1,2184.535401,0.0005,[-0.019133],[2184.535401],spliced_blc0001020304050607_guppi_57817_84321_HIP25486_0050.gpuspec.0000.h5
583,HIP61317,0.066965,1,2090.1823870000003,0.0005,[0.066965],[2090.182387],spliced_blc0001020304050607_guppi_57823_22550_HIP61317_0002.gpuspec.0000.h5
584,HIP98906,0.019706,1,2181.623991,0.0005,[0.019706],[2181.623991],spliced_blc0001020304050607_2bit_guppi_57439_55281_HIP98906_0003.gpuspec.0000.h5
585,HIP98906,0.019706,1,2182.122778,0.0005,[0.019706],[2182.122778],spliced_blc0001020304050607_2bit_guppi_57439_55281_HIP98906_0003.gpuspec.0000.h5
586,HIP105932,0.038266,1,2106.256318,0.0005,[0.038266],[2106.256318],spliced_blc0001020304050607_guppi_57715_80140_HIP105932_0051.gpuspec.0000.h5
587,HIP105932,0.038266,1,2106.539126,0.0005,[0.038266],[2106.539126],spliced_blc0001020304050607_guppi_57715_80140_HIP105932_0051.gpuspec.0000.h5
588,HIP105932,0.038266,1,2211.0010199999997,0.0005,[0.038266],[2211.00102],spliced_blc0001020304050607_guppi_57715_80140_HIP105932_0051.gpuspec.0000.h5
589,HIP105932,0.038266,1,2213.930707,0.0005,[0.038266],[2213.930707],spliced_blc0001020304050607_guppi_57715_80140_HIP105932_0051.gpuspec.0000.h5
590,HIP105932,0.028699000000000002,1,2105.991622,0.0005,[0.028699],[2105.991622],spliced_blc1011121314151617_guppi_57722_79748_HIP105932_0003.gpuspec.0000.h5
591,HIP105932,0.038266,1,2106.166119,0.0005,[0.038266],[2106.166119],spliced_blc1011121314151617_guppi_57722_79748_HIP105932_0003.gpuspec.0000.h5
592,HIP51658,0.009566,1,2195.578023,0.0005,[-0.009566],[2195.578023],spliced_blc0001020304050607_guppi_58014_57274_HIP51658_0014.gpuspec.0000.h5
593,HIP105932,0.028699000000000002,1,2106.5692719999997,0.0005,[0.028699],[2106.569272],spliced_blc1011121314151617_guppi_57722_79748_HIP105932_0003.gpuspec.0000.h5
594,HIP105932,0.10523099999999999,1,2187.632029,0.0005,[-0.105231],[2187.632029],spliced_blc1011121314151617_guppi_57722_79748_HIP105932_0003.gpuspec.0000.h5
595,HIP105932,0.009566,1,2188.347732,0.0005,[0.009566],[2188.347732],spliced_blc1011121314151617_guppi_57722_79748_HIP105932_0003.gpuspec.0000.h5
596,HIP105932,0.009566,1,2188.545232,0.0005,[0.009566],[2188.545232],spliced_blc1011121314151617_guppi_57722_79748_HIP105932_0003.gpuspec.0000.h5
597,HIP105932,0.028699000000000002,1,2211.001068,0.0005,[0.028699],[2211.001068],spliced_blc1011121314151617_guppi_57722_79748_HIP105932_0003.gpuspec.0000.h5
598,HIP105932,0.009566,1,2213.424235,0.0005,[0.009566],[2213.424235],spliced_blc1011121314151617_guppi_57722_79748_HIP105932_0003.gpuspec.0000.h5
599,HIP105932,0.028699000000000002,1,2213.9307559999997,0.0005,[0.028699],[2213.930756],spliced_blc1011121314151617_guppi_57722_79748_HIP105932_0003.gpuspec.0000.h5
600,HIP105932,0.038266,1,2234.571609,0.0005,[-0.038266],[2234.571609],spliced_blc1011121314151617_guppi_57722_79748_HIP105932_0003.gpuspec.0000.h5
601,HIP110395,0.038266,1,2257.487767,0.0005,[-0.038266],[2257.487767],spliced_blc0001020304050607_guppi_57608_20816_Hip110395_0009.gpuspec.0000.h5
602,HIP110526,0.009566,1,2188.428783,0.0005,[0.009566],[2188.428783],spliced_blc0001020304050607_guppi_57608_22936_Hip110526_0015.gpuspec.0000.h5
603,HIP117197,0.019133,1,2254.565668,0.0005,[-0.019133],[2254.565668],spliced_blc0001020304050607_guppi_57608_36131_Hip117197_0051.gpuspec.0000.h5
604,GJ166BC,0.047832,1,2213.929637,0.0005,[-0.047832],[2213.929637],spliced_blc0001020304050607_guppi_57627_42466_Gj166bc_0009.gpuspec.0000.h5
605,HIP19076,0.038266,1,1810.457192,0.0005,[0.038266],[1810.457192],spliced_blc0001020304050607_guppi_57627_48847_Hip19076_0027.gpuspec.0000.h5
606,HIP19076,0.047832,1,1812.505173,0.0005,[0.047832],[1812.505173],spliced_blc0001020304050607_guppi_57627_48847_Hip19076_0027.gpuspec.0000.h5
607,HIP19076,0.047832,1,1814.553154,0.0005,[0.047832],[1814.553154],spliced_blc0001020304050607_guppi_57627_48847_Hip19076_0027.gpuspec.0000.h5
608,HIP25486,0.019133,1,2188.305589,0.0005,[-0.019133],[2188.305589],spliced_blc0001020304050607_guppi_57817_84321_HIP25486_0050.gpuspec.0000.h5
609,HIP106231,0.009566,1,2105.399062,0.0005,[0.009566],[2105.399062],spliced_blc0001020304050607_guppi_57907_38902_HIP106231_0044.gpuspec.0000.h5
610,HIP104092,0.009566,1,2188.456759,0.0005,[0.009566],[2188.456759],spliced_blc0001020304050607_guppi_57669_07873_HIP104092_0009.gpuspec.0000.h5
611,HIP96100,0.019133,1,2193.480153,0.0005,[0.019133],[2193.480153],spliced_blc1011121314151617_guppi_58110_63368_HIP96100_0039.gpuspec.0000.h5
612,HIP51459,0.009566,1,2198.076735,0.0005,[-0.009566],[2198.076735],spliced_blc0001020304050607_guppi_58014_55183_HIP51459_0008.gpuspec.0000.h5
613,HIP83601,0.019133,1,1852.5079329999999,0.0005,[-0.019133],[1852.507933],spliced_blc3031323334353637_guppi_57915_30339_HIP83601_0038.gpuspec.0000.h5
614,HIP22845,0.019133,1,2611.5713379999997,0.0005,[0.019133],[2611.571338],spliced_blc0001020304050607_guppi_58010_36646_HIP22845_0014.gpuspec.0000.h5
615,HIP13402,0.038266,1,2441.005181,0.0005,[0.038266],[2441.005181],spliced_blc0001020304050607_guppi_57661_33091_HIP13402_0011.gpuspec.0000.h5
616,HIP27435,0.019133,1,2188.358971,0.0005,[-0.019133],[2188.358971],spliced_blc0001020304050607_guppi_57661_41406_HIP27435_0035.gpuspec.0000.h5
617,HIP83601,0.038266,1,2235.482814,0.0005,[0.038266],[2235.482814],spliced_blc3031323334353637_guppi_57915_30339_HIP83601_0038.gpuspec.0000.h5
618,HIP53910,0.038266,1,2179.974958,0.0005,[-0.038266],[2179.974958],spliced_blc3031323334353637_guppi_57873_07706_HIP53910_0051.gpuspec.0000.h5
619,HIP27913,0.019133,1,2212.499885,0.0005,[-0.019133],[2212.499885],spliced_blc0001020304050607_guppi_57661_45599_HIP27913_0047.gpuspec.0000.h5
620,HIP45170,0.08609800000000001,1,2272.488518,0.0005,[0.086098],[2272.488518],spliced_blc0001020304050607_guppi_57665_51943_HIP45170_0009.gpuspec.0000.h5
621,HIP53910,0.028699000000000002,1,2180.013956,0.0005,[-0.028699],[2180.013956],spliced_blc3031323334353637_guppi_57873_07706_HIP53910_0051.gpuspec.0000.h5
622,HIP17378,0.047832,1,2104.997974,0.0005,[-0.047832],[2104.997974],spliced_blc0001020304050607_guppi_57668_30978_HIP17378_0015.gpuspec.0000.h5
623,HIP53910,0.047832,1,2181.8332010000004,0.0005,[-0.047832],[2181.833201],spliced_blc3031323334353637_guppi_57873_07706_HIP53910_0051.gpuspec.0000.h5
624,HIP17378,0.057399,1,2107.028775,0.0005,[-0.057399],[2107.028775],spliced_blc0001020304050607_guppi_57668_30978_HIP17378_0015.gpuspec.0000.h5
625,HIP28614,0.038266,1,2106.273166,0.0005,[-0.038266],[2106.273166],spliced_blc0001020304050607_guppi_57668_39403_HIP28614_0039.gpuspec.0000.h5
626,HIP29432,0.019133,1,2174.9999350000003,0.0005,[-0.019133],[2174.999935],spliced_blc0001020304050607_guppi_57668_41519_HIP29432_0045.gpuspec.0000.h5
627,HIP29432,0.047832,1,2194.14005,0.0005,[0.047832],[2194.14005],spliced_blc0001020304050607_guppi_57668_41519_HIP29432_0045.gpuspec.0000.h5
628,HIP104019,0.028699000000000002,1,2105.82914,0.0005,[0.028699],[2105.82914],spliced_blc0001020304050607_guppi_57669_05786_HIP104019_0003.gpuspec.0000.h5
629,HIP9094,0.057399,1,2181.4656170000003,0.0005,[-0.057399],[2181.465617],spliced_blc3031323334353637_guppi_57873_58624_HIP9094_0018.gpuspec.0000.h5
630,HIP13976,0.047832,1,2106.8391,0.0005,[-0.047832],[2106.8391],spliced_blc0001020304050607_guppi_57655_36232_Hip13976_0021.gpuspec.0000.h5
631,HIP13976,0.057399,1,2106.020764,0.0005,[-0.057399],[2106.020764],spliced_blc0001020304050607_guppi_57655_36232_Hip13976_0021.gpuspec.0000.h5
632,HIP50372,0.009566,1,2195.9707399999998,0.0005,[-0.009566],[2195.97074],spliced_blc0001020304050607_guppi_58014_53006_HIP50372_0002.gpuspec.0000.h5
633,HIP98677,0.114798,1,2222.143522,0.0005,[-0.114798],[2222.143522],spliced_blc0001020304050607_guppi_57871_49101_HIP98677_0045.gpuspec.0000.h5
634,HIP84521,0.0,1,1949.0421620000002,0.0005,[-0.],[1949.042162],spliced_blc0001020304050607_guppi_57871_44863_HIP84521_0033.gpuspec.0000.h5
635,HIP84379,0.019133,1,2181.040675,0.0005,[0.019133],[2181.040675],spliced_blc0001020304050607_guppi_57871_42787_HIP84379_0027.gpuspec.0000.h5
636,HIP106231,0.009566,1,2198.272208,0.0005,[0.009566],[2198.272208],spliced_blc0001020304050607_guppi_57907_38902_HIP106231_0044.gpuspec.0000.h5
637,HIP107350,0.066965,1,2254.568624,0.0005,[-0.066965],[2254.568624],spliced_blc0001020304050607_guppi_57634_20189_Hip107350_0015.gpuspec.0000.h5
638,HIP84379,0.019133,1,2178.826637,0.0005,[0.019133],[2178.826637],spliced_blc0001020304050607_guppi_57871_42787_HIP84379_0027.gpuspec.0000.h5
639,HIP84195,0.019133,1,2178.9117969999998,0.0005,[0.019133],[2178.911797],spliced_blc0001020304050607_guppi_57871_40732_HIP84195_0021.gpuspec.0000.h5
640,HIP50372,0.009566,1,2198.540827,0.0005,[-0.009566],[2198.540827],spliced_blc0001020304050607_guppi_58014_53006_HIP50372_0002.gpuspec.0000.h5
641,GJ71,0.047832,1,2106.6682739999997,0.0005,[-0.047832],[2106.668274],spliced_blc0001020304050607_guppi_57634_31021_Gj71_0045.gpuspec.0000.h5
642,GJ71,0.047832,1,2107.459535,0.0005,[-0.047832],[2107.459535],spliced_blc0001020304050607_guppi_57634_31021_Gj71_0045.gpuspec.0000.h5
643,HIP14445,0.066965,1,2106.460269,0.0005,[-0.066965],[2106.460269],spliced_blc0001020304050607_guppi_57635_37034_Hip14445_0009.gpuspec.0000.h5
644,HIP14445,0.047832,1,2187.9692649999997,0.0005,[0.047832],[2187.969265],spliced_blc0001020304050607_guppi_57635_37034_Hip14445_0009.gpuspec.0000.h5
645,HIP83601,0.038266,1,2239.578838,0.0005,[0.038266],[2239.578838],spliced_blc3031323334353637_guppi_57915_30339_HIP83601_0038.gpuspec.0000.h5
646,HIP50372,0.009566,1,2198.35659,0.0005,[-0.009566],[2198.35659],spliced_blc0001020304050607_guppi_58014_53006_HIP50372_0002.gpuspec.0000.h5
647,HIP14729,0.095665,1,2257.508476,0.0005,[-0.095665],[2257.508476],spliced_blc0001020304050607_guppi_57635_39116_Hip14729_0015.gpuspec.0000.h5
648,HIP50372,0.009566,1,2197.844115,0.0005,[-0.009566],[2197.844115],spliced_blc0001020304050607_guppi_58014_53006_HIP50372_0002.gpuspec.0000.h5
649,HIP14729,0.009566,1,2198.113961,0.0005,[-0.009566],[2198.113961],spliced_blc2021222324252627_guppi_57992_40285_HIP14729_0044.gpuspec.0000.h5
650,HIP14954,0.057399,1,2106.4479699999997,0.0005,[-0.057399],[2106.44797],spliced_blc0001020304050607_guppi_57635_41222_Hip14954_0021.gpuspec.0000.h5
651,HIP83601,0.038266,1,2237.530826,0.0005,[0.038266],[2237.530826],spliced_blc3031323334353637_guppi_57915_30339_HIP83601_0038.gpuspec.0000.h5
652,HIP15099,0.028699000000000002,1,2255.460187,0.0005,[-0.028699],[2255.460187],spliced_blc0001020304050607_guppi_57635_43284_Hip15099_0027.gpuspec.0000.h5
653,GJ280,0.0,1,1921.33798,0.0005,[-0.],[1921.33798],spliced_blc0001020304050607_guppi_57635_51845_Gj280_0051.gpuspec.0000.h5
654,HIP28954,0.019133,1,2198.5103870000003,0.0005,[-0.019133],[2198.510387],spliced_blc3031323334353637_guppi_57998_53618_HIP28954_0050.gpuspec.0000.h5
655,HIP13642,0.0,1,1949.2405010000002,0.0005,[-0.],[1949.240501],spliced_blc0001020304050607_guppi_57655_31942_Hip13642_0009.gpuspec.0000.h5
656,HIP13642,0.0,1,1961.2324,0.0005,[-0.],[1961.2324],spliced_blc0001020304050607_guppi_57655_31942_Hip13642_0009.gpuspec.0000.h5
657,HIP51459,0.009566,1,2198.6746359999997,0.0005,[-0.009566],[2198.674636],spliced_blc0001020304050607_guppi_58014_55183_HIP51459_0008.gpuspec.0000.h5
658,HIP31635,0.057399,1,2188.056213,0.0005,[0.057399],[2188.056213],spliced_blc0001020304050607_guppi_57699_37898_HIP31635_0051.gpuspec.0000.h5
659,HIP85042,0.028699000000000002,1,2183.170299,0.0005,[0.028699],[2183.170299],spliced_blc2021222324252627_guppi_57898_29631_HIP85042_0050.gpuspec.0000.h5
660,HIP31635,0.019133,1,2604.500134,0.0005,[0.019133],[2604.500134],spliced_blc0001020304050607_guppi_57699_37898_HIP31635_0051.gpuspec.0000.h5
661,HIP102805,0.038266,1,2218.896096,0.0005,[0.038266],[2218.896096],spliced_blc0001020304050607_guppi_57715_75715_HIP102805_0039.gpuspec.0000.h5
662,HIP102805,0.019133,1,2264.561289,0.0005,[-0.019133],[2264.561289],spliced_blc0001020304050607_guppi_57715_75715_HIP102805_0039.gpuspec.0000.h5
663,HIP92871,0.114798,1,2257.495727,0.0005,[0.114798],[2257.495727],spliced_blc0001020304050607_guppi_57715_82286_HIP92871_0057.gpuspec.0000.h5
664,HIP92871,0.057399,1,2260.468579,0.0005,[0.057399],[2260.468579],spliced_blc0001020304050607_guppi_57715_82286_HIP92871_0057.gpuspec.0000.h5
665,HIP92871,0.057399,1,2264.56465,0.0005,[0.057399],[2264.56465],spliced_blc0001020304050607_guppi_57715_82286_HIP92871_0057.gpuspec.0000.h5
666,HIP5799,0.019133,1,2188.0383859999997,0.0005,[0.019133],[2188.038386],spliced_blc1011121314151617_guppi_57866_58979_HIP5799_0011.gpuspec.0000.h5
667,HIP5799,0.009566,1,2181.471794,0.0005,[-0.009566],[2181.471794],spliced_blc1011121314151617_guppi_57866_58979_HIP5799_0011.gpuspec.0000.h5
668,HIP49669,0.019133,1,2104.723357,0.0005,[-0.019133],[2104.723357],spliced_blc0001020304050607_guppi_57718_39089_HIP49669_0009.gpuspec.0000.h5
669,HIP49669,0.019133,1,2104.750434,0.0005,[-0.019133],[2104.750434],spliced_blc0001020304050607_guppi_57718_39089_HIP49669_0009.gpuspec.0000.h5
670,HIP49669,0.019133,1,2105.180663,0.0005,[-0.019133],[2105.180663],spliced_blc0001020304050607_guppi_57718_39089_HIP49669_0009.gpuspec.0000.h5
671,HIP77070,0.019133,1,2426.400302,0.0005,[-0.019133],[2426.400302],spliced_blc0001020304050607_guppi_57862_25048_HIP77070_0020.gpuspec.0000.h5
672,HIP77070,0.019133,1,2181.7916960000002,0.0005,[0.019133],[2181.791696],spliced_blc0001020304050607_guppi_57862_25048_HIP77070_0020.gpuspec.0000.h5
673,HIP77070,0.019133,1,2086.099699,0.0005,[0.019133],[2086.099699],spliced_blc0001020304050607_guppi_57862_25048_HIP77070_0020.gpuspec.0000.h5
674,HIP114379,0.019133,1,2197.820182,0.0005,[0.019133],[2197.820182],spliced_blc3031323334353637_guppi_57915_34646_HIP114379_0050.gpuspec.0000.h5
675,HIP49669,0.019133,1,2107.352866,0.0005,[-0.019133],[2107.352866],spliced_blc0001020304050607_guppi_57718_39089_HIP49669_0009.gpuspec.0000.h5
676,HIP77070,0.019133,1,1998.5081460000001,0.0005,[0.019133],[1998.508146],spliced_blc0001020304050607_guppi_57862_25048_HIP77070_0020.gpuspec.0000.h5
677,HIP77060,0.019133,1,2181.2618620000003,0.0005,[0.019133],[2181.261862],spliced_blc0001020304050607_guppi_57862_22901_HIP77060_0014.gpuspec.0000.h5
678,HIP102805,0.038266,1,2031.38375,0.0005,[0.038266],[2031.38375],spliced_blc0001020304050607_guppi_57715_75715_HIP102805_0039.gpuspec.0000.h5
679,HIP6537,0.009566,1,2184.5537640000002,0.0005,[-0.009566],[2184.553764],spliced_blc1011121314151617_guppi_57866_63069_HIP6537_0023.gpuspec.0000.h5
680,HIP76375,0.019706,1,1807.498871,0.0005,[-0.019706],[1807.498871],spliced_blc0001020304050607_guppi_57714_64260_HIP76375_0003.gpuspec.0000.h5
